year	GDP
1929	104.6
1930	92.2
1931	77.4
1932	59.5
1933	57.2
1934	66.8
1935	74.3
1936	84.9
1937	93.0
1938	87.4
1939	93.5
1940	102.9
1941	129.4
1942	166.0
1943	203.1
1944	224.6
1945	228.2
1946	227.8
1947	249.9
1948	274.8
1949	272.8
1950	300.2
1951	347.3
1952	367.7
1953	389.7
1954	391.1
1955	426.2
1956	450.1
1957	474.9
1958	482.0
1959	522.5
1960	543.3
1961	563.3
1962	605.1
1963	638.6
1964	685.8
1965	743.7
1966	815.0
1967	861.7
1968	942.5
1969	1019.9
1970	1075.9
1971	1167.8
1972	1282.4
1973	1428.5
1974	1548.8
1975	1688.9
1976	1877.6
1977	2086.0
1978	2356.6
1979	2632.1
1980	2862.5
1981	3211.0
1982	3345.0
1983	3638.1
1984	4040.7
1985	4346.7
1986	4590.2
1987	4870.2
1988	5252.6
1989	5657.7
1990	5979.6
1991	6174.0
1992	6539.3
1993	6878.7
1994	7308.8
1995	7664.1
1996	8100.2
1997	8608.5
1998	9089.2
1999	9660.6
2000	10284.8
2001	10621.8
2002	10977.5
2003	11510.7
2004	12274.9
2005	13093.7
2006	13855.9
2007	14477.6
2008	14718.6
2009	14418.7
2010	14964.4
2011	15517.9
2012	16155.3
2013	16691.5
2014	17393.1
2015	18036.6
